date,open,high,low,close,volume,change_percent,avg_vol_20d
1950/1/3,16.66,16.66,16.66,16.66,1260000,-0.77,63000
1950/1/4,16.85,16.85,16.85,16.85,1890000,1.14,157500
1950/1/5,16.93,16.93,16.93,16.93,2550000,0.47,285000
1950/1/6,16.98,16.98,16.98,16.98,2010000,0.3,385500
1950/1/9,17.08,17.08,17.08,17.08,2520000,0.59,511500
1950/1/10,17.03,17.03,17.03,17.03,2160000,-0.29,619500
1950/1/11,17.09,17.09,17.09,17.09,2630000,0.35,751000
1950/1/12,16.76,16.76,16.76,16.76,2970000,-1.93,899500
1950/1/13,16.67,16.67,16.67,16.67,3330000,-0.54,1066000
1950/1/16,16.72,16.72,16.72,16.72,1460000,0.3,1139000
1950/1/17,16.86,16.86,16.86,16.86,1790000,0.84,1228500
1950/1/18,16.85,16.85,16.85,16.85,1570000,-0.06,1307000
1950/1/19,16.87,16.87,16.87,16.87,1170000,0.12,1365500
1950/1/20,16.9,16.9,16.9,16.9,1440000,0.18,1437500
1950/1/23,16.92,16.92,16.92,16.92,1340000,0.12,1504500
1950/1/24,16.86,16.86,16.86,16.86,1250000,-0.35,1567000
1950/1/25,16.74,16.74,16.74,16.74,1700000,-0.71,1652000
1950/1/26,16.73,16.73,16.73,16.73,1150000,-0.06,1709500
1950/1/27,16.82,16.82,16.82,16.82,1250000,0.54,1772000
1950/1/30,17.02,17.02,17.02,17.02,1640000,1.19,1854000
1950/1/31,17.05,17.05,17.05,17.05,1690000,0.18,1875500
1950/2/1,17.05,17.05,17.05,17.05,1810000,0,1871500
1950/2/2,17.23,17.23,17.23,17.23,2040000,1.06,1846000
1950/2/3,17.29,17.29,17.29,17.29,2210000,0.35,1856000
1950/2/6,17.32,17.32,17.32,17.32,1490000,0.17,1804500
1950/2/7,17.23,17.23,17.23,17.23,1360000,-0.52,1764500
1950/2/8,17.21,17.21,17.21,17.21,1470000,-0.12,1706500
1950/2/9,17.28,17.28,17.28,17.28,1810000,0.41,1648500
1950/2/10,17.24,17.24,17.24,17.24,1790000,-0.23,1571500
1950/2/14,17.06,17.06,17.06,17.06,2210000,-1.04,1609000
1950/2/15,17.06,17.06,17.06,17.06,1730000,0,1606000
1950/2/16,16.99,16.99,16.99,16.99,1920000,-0.41,1623500
1950/2/17,17.15,17.15,17.15,17.15,1940000,0.94,1662000
1950/2/20,17.2,17.2,17.2,17.2,1420000,0.29,1661000
1950/2/21,17.17,17.17,17.17,17.17,1260000,-0.17,1657000
1950/2/23,17.21,17.21,17.21,17.21,1310000,0.23,1660000
1950/2/24,17.28,17.28,17.28,17.28,1710000,0.41,1660500
1950/2/27,17.28,17.28,17.28,17.28,1410000,0,1673500
1950/2/28,17.22,17.22,17.22,17.22,1310000,-0.35,1676500
1950/3/1,17.24,17.24,17.24,17.24,1410000,0.12,1665000
1950/3/2,17.23,17.23,17.23,17.23,1340000,-0.06,1647500
1950/3/3,17.29,17.29,17.29,17.29,1520000,0.35,1633000
1950/3/6,17.32,17.32,17.32,17.32,1470000,0.17,1604500
1950/3/7,17.2,17.2,17.2,17.2,1590000,-0.69,1573500
1950/3/8,17.19,17.19,17.19,17.19,1360000,-0.06,1567000
1950/3/9,17.07,17.07,17.07,17.07,1330000,-0.7,1565500
